SMOC1|Q9H4F8-2
ARF6|P62330
NEIL2|Q969S2
HN1|Q9UK76
NDRG3|Q9UGV2
PCMT1|H7BY58
MRPS22|P82650
MRPL18|Q9H0U6
EPB41L2|O43491-4
IVD|A0A0A0MT83
FBLN1|P23142
RAP2B|P61225
ARL6IP5|O75915
PXK|A0A0C4DG95
FH|P07954
RARS|P54136
MRPL32|Q9BYC8
SUPT6H|Q7KZ85
JUP|P14923
SUSD5|O60279
PHKB|Q93100-3
PLD2|O14939
NRP1|O14786
C14orf166|Q9Y224
PDE2A|O00408-2
MTCH2|E9PIE4
CBR1|P16152
HN1|Q9UK76-2
PDE2A|O00408
ZHX3|Q9H4I2-2
ATP2C1|P98194-7
PCSK2|P16519
MAPKAPK5|Q8IW41
AP5B1|Q2VPB7
SLCO1C1|Q9NYB5-3
HOMER3|Q9NSC5
KIAA1033|A0A087X256
CHCHD4|Q8N4Q1-2
MAP2|E7EV03
TBRG4|Q969Z0
MAN2C1|Q9NTJ4-4
RRBP1|Q9P2E9
STMN4|Q9H169-2
PTP4A2|Q12974
DENND5B|G3V1S3
APOA1|P02647
MAPK4|P31152
TPD52L2|O43399-4
CUTA|C9IZG4
CA3|P07451
PRODH|A0A087WWM6
PAFAH1B2|P68402
PRKCA|P17252
EMILIN1|A0A0C4DFX3
MRPL22|J3KQY1
SNX24|A8MXB7
LGALS8|O00214-2
STMN4|E7EVN3
NPC1|O15118
NTRK3|Q16288-3
TMEM167A|Q8TBQ9
MCTS1|Q9ULC4-3
HEPACAM|Q14CZ8-2
SOS2|Q07890
CHN1|P15882-2
CCT8|P50990
PRKCH|P24723
NCL|P19338
AGAP1|E7EUN2
TSNAX|Q99598
CDC42BPB|H0YLY0
MRPL45|A0A087X2D5
NEFH|P12036
SLC9A1|P19634
BCKDK|O14874
C3|P01024
NFAT5|O94916-5
NCAM1|P13591
RRAGA|Q7L523
NTRK3|Q16288
NELFB|Q8WX92
MRPS5|P82675
ACBD6|Q9BR61
SRSF2|Q01130
USP48|Q86UV5-8
BZW2|Q9Y6E2
MICAL3|Q7RTP6-5
DAK|A0A087WUL0
RTN4|Q9NQC3
RPL28|H0YKD8
CCDC28A|Q8IWP9
SRSF8|Q9BRL6
KCNT1|C9JZ51
KCNT1|C9JYL2
GNAL|P38405
SRP14|P37108
PPP2R2A|P63151-2
MAP1S|Q66K74
LRRC1|Q9BTT6
AK6|Q9Y3D8
BST2|Q10589
PGAP1|Q75T13
DNAJB1|P25685
FAM21A|Q641Q2
DNAJC25|Q9H1X3-3
SCP2|P22307
TMED2|Q15363
INAFM1|C9JVW0
ZC3H4|Q9UPT8
VSTM2L|Q96N03
DNAJA4|Q8WW22-2
DCAKD|Q8WVC6
TMED9|Q9BVK6
STAG1|Q8WVM7
ITSN1|Q15811-7
WIBG|Q9BRP8
PRPS2|P11908
FAM102A|Q5T9C2
DDRGK1|Q96HY6
PRPS2|P11908-2
SESTD1|Q86VW0
OSGEP|Q9NPF4
RBM12|Q9NTZ6
SLC13A5|Q86YT5
HECTD3|Q5T447
UBE4B|O95155-4
WDR26|Q9H7D7
ATXN2L|Q8WWM7
TMEM38A|Q9H6F2
FAM91A1|Q658Y4
FCHO1|M0QZI3
POLDIP2|Q9Y2S7
ARHGAP35|Q9NRY4
PPIL4|Q8WUA2
TMCC3|Q9ULS5
CAMK2D|Q13557-11
PDPK1|O15530
SMIM13|P0DJ93
AIF1|Q5STX8
ATG12|O94817
RSF1|Q96T23
CARTPT|Q16568
GNB2L1|P63244
CAMK2D|E9PBG7
C19orf52|Q9BSF4
HTATIP2|Q9BUP3-3
KIAA0195|Q12767-2
FAM126B|Q8IXS8
TUBA4A|C9JDS9
EXOC4|Q96A65
NDFIP2|Q9NV92
PNPLA6|M0R2H4
ISCA2|Q86U28
DHX15|O43143
ICOSLG|K4DIA0
TPRG1L|Q5T0D9
NTNG2|Q96CW9
ELAVL4|B1APY8
RNH1|P13489
FAM136A|E7EQY1
SET|Q01105-2
STX8|Q9UNK0
SLC13A3|Q8WWT9
MACROD2|A1Z1Q3-2
PIK3CD|F8W9P4
DOCK5|Q9H7D0
HSPD1|P10809
MYO18A|Q92614
ZRANB2|A0A0C4DGV5
ERI3|O43414
CNST|Q6PJW8
PARK7|Q99497
WDR47|O94967
ZRANB2|O95218-2
CPSF1|Q10570
NUCB1|Q02818
EPB42|P16452-2
ANKS1B|H0YI72
NPTX1|Q15818
SARAF|H0YBH7
HEBP1|Q9NRV9
ABCB9|Q6P2Q0
MYO6|A0A0A0MRM8
UFL1|O94874
GAS2L1|A0A5E8
AP3B1|O00203
MYO6|Q9UM54-2
PTPN4|P29074
RARS|P54136-2
MRPS17|I3L0E3
SARAF|Q96BY9
L1CAM|P32004
CDH6|P55285
MROH1|Q8NDA8
PNPLA6|Q8IY17-4
LSM2|Q9Y333
TXNDC9|O14530
SOX2|P48431
FXN|Q16595
COX7A1|P24310
TLDC1|Q6P9B6
SERPINB6|A0A087X1N8
CCDC85A|Q96PX6
DIABLO|F5H796
PRRT1|Q99946
ASIC1|P78348-1
TMEM192|Q8IY95
PSMB3|P49720
NAV1|Q8NEY1
YOD1|Q5VVQ6
FAM136A|Q96C01
ICA1L|Q8NDH6
KIF2A|O00139-4
CUL1|Q13616
MYO18A|Q92614-3
AP4S1|Q9Y587-2
SLC12A4|Q9UP95
TCEAL2|Q9H3H9
USO1|O60763
NCOA5|Q9HCD5
COX19|Q49B96
NOGENE|E9PCH4
ARG1|P05089-2
CDH13|P55290-4
THNSL1|Q8IYQ7
EPB41L4B|Q9H329
MATR3|P43243
EIF4B|P23588
ITIH2|P19823
ITCH|Q96J02
PDCD4|Q53EL6
USP48|Q86UV5
MYO6|E7EW20
AMN1|Q8IY45
RAB8B|Q92930
ERP44|Q9BS26
STAT4|Q14765
ERAP1|Q9NZ08-2
UBL7|Q96S82
ELMO1|Q92556
MAGI2|Q86UL8
DCAF8|G3V3G9
TMEM181|Q9P2C4
ITGA7|Q13683
RAPGEF6|Q8TEU7-4
NR3C1|P04150-3
MMRN2|Q9H8L6
SPRED3|K7EPU5
CDC34|P49427
SEZ6L2|A0A087WYL5
ALDOC|P09972
TRAP1|Q12931
CCAR1|Q8IX12
SRSF5|Q13243
SGK223|Q86YV5
SPEG|Q15772
CDC42EP1|Q00587
ZC3HAV1|C9J6P4
SEC14L3|Q9UDX4
ATP6V0A2|Q9Y487
FAM114A2|Q9NRY5
IPO4|Q8TEX9-2
YTHDF3|A0A087WY31
GOLGA2|Q08379
SLC9A3R2|Q15599
RAB3IP|Q96QF0
GPRASP2|Q96D09
EIF4B|E7EX17
ACOT9|Q9Y305-4
POLDIP3|Q9BY77
KIF5A|Q12840
TRAF3|Q13114
RAB5C|F8VWU4
FSD1L|A0A0C4DG97
PON1|P27169
SLCO3A1|Q9UIG8
RPS16|P62249
COG1|Q8WTW3
PNPT1|Q8TCS8
TTC39C|Q8N584
LUC7L|Q9NQ29
CKAP4|Q07065
ABLIM3|A0A0C4DGA7
PPP2R1A|P30153
USO1|O60763-2
ABI1|Q8IZP0
TMCO1|J9JIE6
TRAF3|A6NHG8
ACOT9|Q9Y305
ATIC|P31939
RAB3B|P20337
MATR3|A8MXP9
GATSL2|A6NHX0
MAP1A|E9PGC8
KCTD13|Q8WZ19
TRIM47|Q96LD4
USP14|P54578
THEM6|Q8WUY1
BANF1|O75531
HNRNPA1|H0YH80
ACOT2|P49753
ACVR1B|P36896-4
CADPS2|H0Y8B5
MAP4|P27816-5
EHD4|Q9H223
EPM2A|O95278
SH3GLB1|Q9Y371
TNFAIP1|Q13829
GAK|H0Y8H5
NSG2|Q9Y328
KLHDC9|Q8NEP7
SCG2|P13521
DGKB|B5MCD5
HNRNPUL1|Q9BUJ2
RAB27A|P51159
PTPN2|P17706
DNAH9|Q9NYC9
NOSIP|A0A075B6F9
PLA2G6|O60733
CABLES1|Q8TDN4
GID8|Q9NWU2
POLDIP3|F6VRR5
PPP2R1A|C9J9C1
PLA2G6|O60733-2
STAM|A6NMU3
ASCC1|Q8N9N2
ARPC3|O15145
ERGIC1|Q969X5
DTX3|Q8N9I9-2
VCL|P18206
GNG5|P63218
PNKD|Q8N490
CHN2|P52757-9
FGG|C9JC84
CSNK2A2|P19784
NOGENE|P01763
TRAPPC3|A0A087WWM0
KIF21A|Q7Z4S6-4
GBAS|O75323
CHRM3|P20309
TMEM9|B1ALM5
PHACTR3|Q96KR7
EIF2AK2|P19525
RGS12|O14924
FGG|P02679
ALS2|Q96Q42
ABLIM3|O94929
SPAG1|Q07617
DTNB|O60941
HRNR|Q86YZ3
SMCHD1|A6NHR9
CDS2|O95674
SRCIN1|A0A087X165
TOM1|O60784-2
TRAPPC3|O43617
ZZEF1|O43149-3
CBX1|P83916
SUPV3L1|Q8IYB8
PRMT2|P55345
AIMP1|Q12904-2
PYCR2|Q96C36
SEPT3|Q9UH03-2
ARID1A|O14497
CTH|P32929
TOR1AIP2|Q8NFQ8
CDC23|Q9UJX2
RHOQ|A0A0C4DH03
M6PR|P20645
SEPT3|B1AHR1
DPH2|Q9BQC3
PTPRN2|Q92932-3
ASCC1|Q8N9N2-2
SRCIN1|Q9C0H9-5
PIR|O00625
AP1S2|P56377-2
COG4|J3KNI1
DNAJB12|J3KPS0
FGFR1OP2|Q9NVK5
RTFDC1|A0A0A0MQR2
TMUB1|Q9BVT8
PLEK|P08567
MTHFS|P49914
MARK1|A0A087X0I6
NOGENE|K7ERQ8
ENOPH1|Q9UHY7
IGHV3-30|A0A0B4J2B7
GAK|O14976
NUDT5|A6NFX8
ENDOD1|O94919
FCGR1A|P12314
NEFM|P07197
PTPRE|P23469
RTN1|Q16799-3
DISP2|A7MBM2
LMNB2|J9JID7
KANK2|Q63ZY3-2
GPCPD1|Q9NPB8
PRNP|P04156
MRPL44|Q9H9J2
TMEM63A|O94886
OXNAD1|C9JLB7
TSPAN8|P19075
MRPS35|P82673
RAP2C|Q9Y3L5
GIT2|Q14161-10
ERLIN1|O75477
JPH3|Q8WXH2
AP1S2|P56377
TTC38|Q5R3I4
PPFIA2|O75334-5
HP1BP3|Q5SSJ5
PMM2|O15305
SPPL2B|Q8TCT7
PPFIA2|O75334-6
PLEKHA6|Q9Y2H5
UBFD1|O14562
PYGM|P11217
ACTR2|P61160-2
RDH13|Q8NBN7
EIF4EBP2|Q13542
ABI1|Q8IZP0-6
TNR|Q92752
CPEB4|Q17RY0
ACTR10|Q9NZ32
UBE2L6|O14933
CCT6A|P40227
AMPD3|Q01432-4
NAA15|A0A0B4J1W3
ENO3|P13929
THOC5|Q13769
ZDHHC6|Q9H6R6
SEPT3|Q9UH03
AMBP|P02760
AKT1|P31749
ANAPC7|Q9UJX3
KCNQ5|A0A0A0MRC8
MAP1LC3B2|A6NCE7
MAGT1|A0A087WU53
TSG101|Q99816
TANC1|Q9C0D5
DOPEY1|Q5TA12
LRSAM1|Q6UWE0
CLYBL|Q8N0X4
ERMN|Q8TAM6-2
TGOLN2|O43493
SESN3|P58005
TAGLN2|P37802-2
IGHV3-72|A0A087WW89
SYNRG|Q9UMZ2-7
SF1|H7C561
ACY3|Q96HD9
ALDH1A3|P47895
APOA2|V9GYM3
C12orf4|Q9NQ89
RRM1|P23921
ZNF706|Q9Y5V0
RPRD2|Q5VT52-3
NEU3|Q9UQ49-2
SH3GL3|Q99963-3
PPM1A|P35813-3
NAA15|Q9BXJ9
ADD1|E7ENY0
ARG1|P05089
UCK2|Q9BZX2
CNIH4|Q9P003
PPP1R3F|Q6ZSY5
MAGOHB|Q96A72
GC|P02774-3
CRLF3|Q8IUI8
STXBP5|Q5T5C0
OGT|O15294
MRPL23|Q16540
KANK2|Q63ZY3
AP1G1|O43747-2
CAPZB|B1AK88
ANK3|A0A087WTF3
SMYD3|Q9H7B4
MACROD2|A1Z1Q3
GSDMD|G3V1A6
RASA1|P20936
USP25|Q9UHP3-3
CNKSR2|Q8WXI2-5
EPB41L1|Q9H4G0-2
RDH11|Q8TC12
PRPF40B|F8VU11
RECQL|P46063
HIP1|O00291
STK31|Q9BXU1
MED4|Q9NPJ6
CUTA|O60888-2
TIMMDC1|Q9NPL8
ATG4C|Q96DT6
HMOX1|P09601
RPAP3|Q9H6T3
CNTN3|Q9P232
DNAL4|O96015
NCLN|Q969V3
RSRC2|Q7L4I2
LARP4B|Q92615
SLC38A3|Q99624
PCDH17|O14917
FAM73A|F8W7S1
PTPRN2|Q92932
TRHDE|Q9UKU6
TPM1|P09493-9
HSD17B12|Q53GQ0
KCND3|Q9UK17
ARHGEF25|Q86VW2-3
CDKL5|O76039
RNF114|Q9Y508
ABI1|Q8IZP0-9
MAPK9|P45984
NIT1|Q86X76-3
FAM129B|Q96TA1
ARRB2|P32121-4
ATP5D|P30049
MTIF2|P46199
NIT2|Q9NQR4
XPNPEP3|Q9NQH7
RABGGTA|Q92696
VPS4B|O75351
PSIP1|O75475
DCLK1|Q5VZY9
DTNBP1|D6RJC6
TIMM10|P62072
STK25|O00506
TRPV1|A0A0B4J2A0
TAF15|Q92804
SMIM20|Q8N5G0
ISCA1|Q9BUE6-2
PSMC4|P43686
PRAF2|O60831
BTN3A2|P78410
NIPSNAP3B|Q9BS92
AGAP3|H7C4U6
XPNPEP1|Q9NQW7-3
ARHGDIB|P52566
DPH1|Q9BZG8
SEZ6L2|Q6UXD5
DIAPH2|C9J6U3
ACLY|P53396
SH3GL2|Q99962
PCNX|Q96RV3
TARDBP|Q13148
UBQLN4|Q9NRR5
MORN4|Q8NDC4-2
GRM7|Q14831
ZNFX1|Q9P2E3
C15orf40|Q8WUR7-3
BTBD1|Q9H0C5
PSMD3|O43242
KCNJ6|P48051
CTDP1|Q9Y5B0-4
CERS2|Q96G23
SCGN|O76038
SELM|Q8WWX9
YLPM1|P49750-4
IPO5|O00410-3
UBE3C|Q15386
PPP3CB|P16298-4
FSCN1|Q16658
TM9SF4|Q92544
NEO1|Q92859
MRPL9|Q9BYD2
CCAR2|Q8N163
NAPRT|Q6XQN6
UCHL5|Q5LJA9
MORN4|Q8NDC4
PPME1|Q9Y570
HSPE1-MOB4|S4R3N1
SPAST|Q9UBP0-2
PLEKHA2|A8K727
GC|D6RF35
FOLH1|Q04609
DOPEY1|Q5JWR5
LYPD6|Q86Y78
TFIP11|Q9UBB9
MPP2|A0A0C4DH75
SLIT1|O75093
MAPK9|P45984-2
KIAA1468|A0A075B768
HNRNPA0|Q13151
VEZF1|Q14119
IDI1|Q13907-2
PPP1R13B|Q96KQ4
KIAA1468|Q9P260
DDX28|Q9NUL7
SMPD1|P17405
ILF3|Q12906-7
CAMK2G|Q13555-5
CHMP3|Q9Y3E7
SRSF7|Q16629
IAH1|Q2TAA2
VTI1B|Q9UEU0
CRNKL1|Q9BZJ0
PDS5A|Q29RF7
BRCA2|P51587
COG2|Q14746
MYBBP1A|Q9BQG0-2
BSCL2|Q96G97
DGCR14|Q96DF8
SYVN1|Q86TM6
ZNF330|Q9Y3S2
CELF4|Q9BZC1
EML4|Q9HC35
SLC39A6|Q13433
ADCY5|O95622
ATP2B4|P23634
LAP3|H0Y9Q1
ATF2|P15336
NRSN1|Q8IZ57
RTN4|Q9NQC3-2
SURF4|O15260
SORBS2|O94875-12
TTBK2|Q6IQ55
CCDC58|Q4VC31
GOLGA7B|Q2TAP0
LAP3|P28838
DNAJC16|Q9Y2G8
VPS45|Q9NRW7
MTMR10|Q9NXD2
AP2A2|O94973-2
MOSPD2|Q8NHP6
DLST|P36957
SCAF1|Q9H7N4
TCP1|F5H136
MBD3|O95983
TCAF1|Q9Y4C2
SH2D5|Q6ZV89
NUCKS1|Q9H1E3
RPL29|P47914
ATP5E|P56381
NOGENE|J3KR12
RFK|Q969G6
HACD3|H3BS72
FAM69A|Q5T7M9
PDK4|Q16654
PHKG2|J3KNN3
KCTD16|Q68DU8
BCL2L13|Q9BXK5
ARHGAP1|Q07960
USP22|Q9UPT9
CRMP1|Q14194
RAPGEF2|H0Y8H7
NTRK2|Q16620-4
CYP4F11|Q9HBI6
SRC|P12931-2
BICD1|Q96G01
ADCK3|Q8NI60
LARP1B|Q659C4
HYI|F6UJY1
SSB|P05455
AKAP10|O43572
DGKA|P23743
STX4|Q12846
KDM3B|Q7LBC6
POLR2G|P62487
C1QL3|Q5VWW1
KCNN3|A0A087WYJ0
YTHDF3|A0A087X0Q1
SYN1|P17600
SLC25A40|Q8TBP6
CTPS1|P17812
LHPP|Q9H008
FBXO7|Q9Y3I1
ARMC10|Q8N2F6-2
ADO|Q96SZ5
PLEKHA6|Q5VTI5
RBMXL1|Q96E39
TRMT61B|Q9BVS5
C14orf159|Q7Z3D6-2
RPL13A|M0QYS1
PTPN12|Q05209
PCYOX1|Q9UHG3
CHI3L1|H0Y3U8
TSPYL5|Q86VY4
TP53RK|Q96S44
SPAST|Q9UBP0
SMS|P52788
NTMT1|Q9BV86
MTOR|P42345
ATP4A|P20648
RAB11FIP2|Q7L804-2
DR1|Q01658
RRAS|P10301
TECPR1|Q7Z6L1-4
PKIG|Q9Y2B9
SORBS2|O94875-4
CACNA1E|Q15878
TRIM2|Q9C040-2
FASTKD2|Q9NYY8
SUN1|O94901-9
UEVLD|Q8IX04
FLRT2|O43155
BCAS1|O75363-2
PACSIN2|Q9UNF0-2
SH3GL3|Q99963
TMED5|Q9Y3A6
VSTM2A|B5MCX6
PTPRC|A0A0A0MT22
EMC4|Q5J8M3
PID1|Q7Z2X4
MTFMT|Q96DP5
TIGAR|Q9NQ88
LTF|P02788
ARMC10|Q8N2F6
GDA|Q9Y2T3
SLC25A25|Q6KCM7-3
CAB39L|Q9H9S4
UPF2|Q9HAU5
FGGY|Q96C11
UBTD2|Q8WUN7
EIF3I|Q13347
AFM|P43652
CDK5RAP3|Q96JB5-4
COA5|Q86WW8
APLP1|P51693-2
WDR54|Q9H977
KCTD7|Q96MP8
PTPMT1|Q8WUK0
DST|Q03001-3
C8B|P07358
CIAPIN1|Q6FI81
AP3S1|F5H459
PIGO|Q8TEQ8
UBASH3B|Q8TF42
SAR1A|Q9NR31
TECPR1|Q7Z6L1-2
IMPACT|Q9P2X3
KCNQ5|F8WEA4
XRCC5|P13010
IRS2|Q9Y4H2
GDA|Q9Y2T3-3
KPNA5|O15131
CDC27|P30260-2
RELA|Q04206
VEZT|Q9HBM0
AEBP1|Q8IUX7
FGGY|Q96C11-3
LCN2|X6R8F3
PDCD6IP|Q8WUM4-2
PACSIN2|Q9UNF0
COG6|Q9Y2V7
SLC25A24|Q6NUK1
MVB12B|Q9H7P6
COMMD10|Q9Y6G5
AP1M1|Q9BXS5
PRPF31|Q8WWY3
PRKAR1A|P10644
DGKE|P52429
SULT4A1|Q9BR01
CHI3L1|P36222
GNAO1|H3BTM2
MUT|P22033
H6PD|R4GMU1
NEFL|P07196
LY6H|O94772-2
PPP2CA|P67775
PPAT|Q06203
GPRC5B|Q9NZH0
ERICH3|Q5RHP9
NOP58|Q9Y2X3
DGKD|Q16760
DPY19L1|Q2PZI1
POLR2M|Q6EEV4
YWHAZ|E7ESK7
WRB|O00258
POSTN|Q15063
HTR2A|P28223
SYNJ2BP-COX16|A0A087WUM0
BCL2L1|Q07817
FAM81A|Q8TBF8
ARHGEF10L|Q9HCE6
BAALC|Q8WXS3
GRIA1|P42261-6
CACNA1E|Q15878-3
RPS21|P63220
RPRD2|Q5VT52
FAM120B|F5GY05
CORO1B|Q9BR76
PID1|Q7Z2X4-4
DCTN1|Q14203
AGPAT1|Q99943
NKRF|O15226-2
PFKM|P08237-3
ATP6V1G1|O75348
CA1|P00915
SRSF11|Q05519
SDR39U1|Q9NRG7-2
CAPRIN1|Q14444
UBE2A|P49459
TGFBI|Q15582
MICU3|Q86XE3
RAPGEF5|Q92565
TSC22D2|O75157
CYLD|Q9NQC7
GEMIN5|Q8TEQ6
VEZT|F8W8C2
CUX1|P39880-3
KLC1|Q07866-7
RAP1GDS1|P52306-3
USP4|Q13107
SH3RF3|Q8TEJ3
SCD5|Q86SK9
UBE2G1|P62253
NUBP1|P53384
NTRK3|Q16288-2
BID|P55957-2
CNTN4|Q8IWV2
PPME1|Q9Y570-4
SCD|O00767
PRTFDC1|Q9NRG1
LRP1B|Q9NZR2
WDR61|Q9GZS3
COMMD4|Q9H0A8
RAB27B|O00194
CPNE7|Q9UBL6
KLC1|G3V5R9
G6PD|E7EUI8
SLC9A6|Q92581-2
COQ5|Q5HYK3
KLC1|Q07866-3
FLRT3|Q9NZU0
GCC1|Q96CN9
RAPGEFL1|A0A087WVW6
ZFPL1|O95159
MAPK14|Q16539-2
DCXR|Q7Z4W1
ZFP36L2|P47974
SLC9A7|A0A087WXD1
ARAF|P10398
SLC1A2|P43004
GSTT1|P30711
GTF2A2|P52657
PRPSAP2|O60256
ARMCX2|Q7L311
NPTN|Q9Y639
SMARCA1|A0A0A0MRP6
CCNK|O75909-4
RANBP9|Q96S59
PAK7|Q9P286
SNRPD3|P62318
LRRC40|Q9H9A6
TACC1|O75410-5
EIF3A|Q14152
MDH1|P40925-3
TGFBRAP1|Q8WUH2
KIF1A|Q12756-2
CDKL5|O76039-2
TUBB8|Q3ZCM7
BCAS1|A0A0A0MRP7
TRAPPC2L|H3BP13
NOGENE|H7C1Q1
BTN3A1|O00481
DMWD|G5E9A7
GBA|P04062
CFL1|E9PK25
MFN1|A0A0C4DFN1
CLIP3|Q96DZ5
CDK17|Q00537
ZSCAN18|Q8TBC5-2
CA1|E5RJI8
CKB|H0YJK0
SMARCA1|B7ZLQ5
RCAN1|P53805
DCTN4|Q9UJW0
PDE10A|Q9Y233-2
TBL1X|O60907
SUGT1|Q9Y2Z0
LYPLA2|O95372
NUDC|Q9Y266
LMO7|A0A0A0MTE2
ELP3|Q9H9T3
TBC1D17|M0R2L2
ICT1|Q14197
BRINP2|Q9C0B6
FCHSD2|E9PG19
CNOT11|Q9UKZ1
NMNAT3|Q96T66
AP3M1|Q9Y2T2
LRP4|O75096
CORO6|Q6QEF8-5
DNM2|P50570
SCARF1|Q14162
TSPYL4|Q9UJ04
GPM6B|Q13491-4
FAF2|Q96CS3
BCR|P11274
MRPL3|E7ETU7
MEMO1|Q9Y316-3
TF|P02787
SZT2|Q5T011
CTNNB1|P35222
SYNJ2BP-COX16|A0A087WYV9
BSG|P35613
PSMG1|O95456
FRMPD4|Q14CM0
FRY|Q5TBA9
CEP68|Q76N32
COX6A1|P12074
TIMM8B|G3XAN8
FAM169A|Q9Y6X4
DAZAP1|Q96EP5
DMWD|Q09019
TSPAN31|Q12999
NMT1|P30419
PNMAL1|Q86V59
MAPK8IP1|Q9UQF2
SCAMP2|O15127
PTPLAD1|Q9P035
TBR1|Q16650
COL23A1|Q86Y22
ANXA6|P08133
PGM2L1|Q6PCE3
SYMPK|Q92797
SRSF10|O75494
RAB5C|P51148-2
ZFAND2B|Q8WV99
PCDH7|H0YAH0
AP4S1|Q9Y587
PPP2R5A|Q15172
CFHR2|P36980
AMOTL1|Q8IY63
SDK2|Q58EX2-4
ARRB2|P32121-3
NRXN2|Q9P2S2-2
PDCD10|C9J932
HEXB|P07686
LAMA4|A0A0A0MQS9
GRIN2B|Q13224
NRBP2|Q9NSY0
SORCS1|Q8WY21-2
AMER3|Q8N944
VPS26A|O75436
RPN1|P04843
JAGN1|A0A087WY88
CKM|P06732
SLC25A26|F8WAB8
INPP1|P49441
CNTFR|P26992
TCEAL5|Q5H9L2
DCTN4|Q9UJW0-3
FOLR2|P14207
NOGENE|H3BN98
GRAMD1B|E7EPH8
HEXA|H3BP20
ATP8A1|Q9Y2Q0
SMARCA4|Q9HBD4
ANKRD35|Q8N283
LMO7|Q8WWI1-2
PPP6C|O00743-3
NAPRT|Q6XQN6-2
GGA1|Q9UJY5
GPR37L1|O60883
PRDX4|Q13162
MYRIP|Q8NFW9
SUMO2|P61956
MSI1|O43347
UNC80|Q8N2C7
UCHL5|Q9Y5K5
LSM8|O95777
DDX3X|O00571
STK3|Q13188-2
PCM1|E7ETA6
ESYT2|H7BXI1
PRX|Q9BXM0
CCDC47|Q96A33
TACC1|O75410-2
PDZRN3|C9JWE6
ARPC1B|O15143
TMEM11|P17152
DTD1|Q8TEA8
SREK1|Q8WXA9-2
PTPRZ1|P23471
JMY|Q8N9B5
GFPT1|Q06210
STAM2|O75886
SLC7A8|Q9UHI5
APOC1|P02654
TRMT10C|Q7L0Y3
FMR1|Q06787-7
RPL12|P30050
EFNB3|Q15768
GNB3|F5H100
TBXAS1|Q53F23
C4orf27|Q9NWY4
PNPLA7|Q6ZV29-5
WDR24|Q96S15
EFR3A|Q14156
NRXN2|Q9P2S2
HSDL1|Q3SXM5
DCLK2|Q8N568
GNA12|Q03113
GOLGA4|Q13439-5
NAP1L1|B7Z9C2
FMR1|Q06787-2
HOOK3|H0YDM4
ARAF|Q96II5
YME1L1|Q96TA2
ARHGAP32|A7KAX9
LYPLAL1|Q5VWZ2
CLPX|O76031
FMR1|Q06787-6
TJP1|H0YLT6
TRAPPC5|Q8IUR0
RPSA|A0A0C4DG17
VPS36|Q86VN1
NETO1|Q8TDF5
MTHFD2L|Q9H903
CMPK1|P30085
DRP2|Q13474
KLC4|Q9NSK0-3
SSC5D|A1L4H1
UCHL5|Q9Y5K5-3
GIPC1|O14908
MAP2K6|P52564
ZPR1|O75312
HPS6|Q86YV9
INIP|Q9NRY2
CHD5|Q8TDI0
STAU1|O95793
MSH6|P52701
TBCE|Q15813-2
DPYSL5|Q9BPU6
PNMA2|Q9UL42
CEP170|E7EWM2
PPP1R21|Q6ZMI0
TRPM3|Q9HCF6-11
MAP3K7|O43318
PPIA|F8WE65
SLC25A25|Q6KCM7-5
CAMLG|P49069
BCL2L13|A0A087WX97
DPY30|Q9C005
FKBP1A|P62942
ATP2B4|P23634-2
STXBP3|O00186
PPP2R5D|Q14738
POR|P16435
C3orf33|Q6P1S2
ARSA|A0A0C4DFZ2
GRM7|C9JMT3
PLCB4|Q15147-4
KIF1A|H7C0K6
DNAJB14|Q8TBM8
MRPL27|Q9P0M9
HZGJ|Q86YQ0
LAMC1|P11047
GAA|P10253
VKORC1L1|Q8N0U8
CCM2|Q9BSQ5-2
RGS10|O43665-3
ACOT1|Q86TX2
SEC61B|P60468
RAB5B|P61020
BBS1|Q8NFJ9-2
DKC1|O60832
MYO3B|Q8WXR4-7
ELOVL1|Q9BW60
GLTP|Q9NZD2
MRPL14|Q6P1L8
RABGGTB|P53611
MRPS12|O15235
TBC1D24|Q9ULP9
SLITRK1|Q96PX8
TMEM59L|Q9UK28
ACYP2|U3KQL2
VPS53|Q5VIR6-4
VAC14|Q08AM6
EIF4H|Q15056-2
MT1E|P04732
SERBP1|Q8NC51-3
NTM|Q9P121-4
RALB|P11234-2
CC2D1B|Q5T0F9-2
ADARB1|P78563-5
GSTM4|A0A0A0MR85
TMEM55B|Q86T03-2
DNM2|P50570-2
PAPOLA|P51003
RPS2|P15880
SEPT2|C9IY94
POM121C|A0A075B7F8
TPCN1|Q9ULQ1-3
RPL15|P61313
FAM3C|Q92520
EIF4H|Q15056
NANS|Q9NR45
ZFYVE21|Q9BQ24-2
MRPL40|Q9NQ50
CNOT3|O75175
TTC8|Q8TAM2-4
SLC9A3R2|Q15599-2
PIGS|Q96S52
ARL8B|Q9NVJ2
BCAS1|G3XAF7
PFN2|P35080
TSTD1|Q8NFU3-4
MFI2|P08582
GMPR2|H0YNJ6
OPRL1|P41146
C8orf46|Q8TAG6
CC2D1B|Q5T0F9
HSP90AA2|Q14568
TNS1|E7ERH1
MYO1D|O94832
CCM2|Q9BSQ5
SMARCA4|A0A0A0MT49
ARHGEF4|E7EV07
JAGN1|Q8N5M9
POGZ|Q7Z3K3
COPS2|P61201-2
SULT4A1|Q9BR01-2
TAF10|Q12962
MACF1|H3BQK9
