"CSF-PR / CSF MIXED-MODE BOUND FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
8257.00,"SINGLE PROTEIN","B4DX44",""," Zinc finger protein 736 (ZN736_HUMAN)","7","ZNF736",0.00,"false",0.00,0.00,0.00,547.00,49.84,0.00,,,,,"false"
8258.00,"SINGLE PROTEIN","Q15361",""," Transcription termination factor 1 (TTF1_HUMAN)","9","TTF1",0.00,"false",0.00,0.00,0.00,547.00,102.99,0.00,,,,,"false"
8259.00,"SINGLE PROTEIN","Q9GZL7",""," Ribosome biogenesis protein WDR12 (WDR12_HUMAN)","2","WDR12",0.00,"false",0.00,0.00,0.00,547.00,47.68,0.00,,,,,"false"
8260.00,"SINGLE PROTEIN","P02545",""," Prelamin-A/C (LMNA_HUMAN)","1","LMNA",0.00,"false",0.00,0.00,0.00,547.00,74.09,0.00,,,,,"false"
8261.00,"SINGLE PROTEIN","P01213",""," Proenkephalin-B (PDYN_HUMAN)","20","PDYN",0.00,"false",0.00,0.00,0.00,547.00,28.37,0.00,,,,,"false"
8262.00,"SINGLE PROTEIN","Q3ZCQ3",""," Membrane protein FAM174B (F174B_HUMAN)","15","FAM174B",0.00,"false",0.00,0.00,0.00,547.00,16.96,0.00,,,,,"false"
8263.00,"SINGLE PROTEIN","Q8IUY3",""," GRAM domain-containing protein 2 (GRAM2_HUMAN)","15","GRAMD2",0.00,"false",0.00,0.00,0.00,547.00,40.22,0.00,,,,,"false"
8264.00,"SINGLE PROTEIN","P98182",""," Zinc finger protein 200 (ZN200_HUMAN)","16","ZNF200",0.00,"false",0.00,0.00,0.00,547.00,45.50,0.00,,,,,"false"
8265.00,"SINGLE PROTEIN","Q3ZCQ2",""," Annexin-2 receptor (AX2R_HUMAN)","5","ANXA2R",0.00,"false",0.00,0.00,0.00,547.00,21.67,0.00,,,,,"false"
8266.00,"SINGLE PROTEIN","Q15365",""," Poly(rC)-binding protein 1 (PCBP1_HUMAN)","2","PCBP1",0.00,"false",0.00,0.00,0.00,547.00,37.47,0.00,,,,,"false"
8267.00,"SINGLE PROTEIN","Q6P3X8",""," PiggyBac transposable element-derived protein 2 (PGBD2_HUMAN)","1","PGBD2",0.00,"false",0.00,0.00,0.00,547.00,67.97,0.00,,,,,"false"
8268.00,"SINGLE PROTEIN","P01210",""," Proenkephalin-A (PENK_HUMAN)","8","PENK",0.00,"false",0.00,0.00,0.00,547.00,30.77,0.00,,,,,"false"
8269.00,"SINGLE PROTEIN","Q8IUX7",""," Adipocyte enhancer-binding protein 1 (AEBP1_HUMAN)","7","AEBP1",0.00,"false",0.00,0.00,0.00,547.00,130.85,0.00,,,,,"false"
8270.00,"SINGLE PROTEIN","Q08174",""," Protocadherin-1 (PCDH1_HUMAN)","5","PCDH1",0.00,"false",0.00,0.00,0.00,547.00,114.67,0.00,,,,,"false"
8271.00,"SINGLE PROTEIN","Q8TDV5",""," Glucose-dependent insulinotropic receptor (GP119_HUMAN)","X","GPR119",0.00,"false",0.00,0.00,0.00,547.00,36.86,0.00,,,,,"false"
8272.00,"SINGLE PROTEIN","Q8IUX8",""," Epidermal growth factor-like protein 6 (EGFL6_HUMAN)","X","EGFL6",0.00,"false",0.00,0.00,0.00,547.00,61.28,0.00,,,,,"false"
8273.00,"SINGLE PROTEIN","Q96GY0",""," Zinc finger C2HC domain-containing protein 1A (ZC21A_HUMAN)","8","ZC2HC1A",0.00,"false",0.00,0.00,0.00,547.00,35.07,0.00,,,,,"false"
8274.00,"SINGLE PROTEIN","Q96GY3",""," Protein lin-37 homolog (LIN37_HUMAN)","19","LIN37",0.00,"false",0.00,0.00,0.00,547.00,28.37,0.00,,,,,"false"
8275.00,"SINGLE PROTEIN","P55011",""," Solute carrier family 12 member 2 (S12A2_HUMAN)","5","SLC12A2",0.00,"false",0.00,0.00,0.00,547.00,131.36,0.00,,,,,"false"
8276.00,"SINGLE PROTEIN","A6NNM8",""," Tubulin polyglutamylase TTLL13P (TTL13_HUMAN)","15","TTLL13",0.00,"false",0.00,0.00,0.00,547.00,93.59,0.00,,,,,"false"
8277.00,"SINGLE PROTEIN","O43745",""," Calcineurin B homologous protein 2 (CHP2_HUMAN)","16","CHP2",0.00,"false",0.00,0.00,0.00,547.00,22.44,0.00,,,,,"false"
8278.00,"SINGLE PROTEIN","A1A5B4",""," Anoctamin-9 (ANO9_HUMAN)","11","ANO9",0.00,"false",0.00,0.00,0.00,547.00,90.31,0.00,,,,,"false"
8279.00,"SINGLE PROTEIN","P57678",""," Gem-associated protein 4 (GEMI4_HUMAN)","17","GEMIN4",0.00,"false",0.00,0.00,0.00,547.00,119.96,0.00,,,,,"false"
8280.00,"SINGLE PROTEIN","O43749",""," Olfactory receptor 1F1 (OR1F1_HUMAN)","16","OR1F1",0.00,"false",0.00,0.00,0.00,547.00,34.84,0.00,,,,,"false"
8281.00,"SINGLE PROTEIN","P57679",""," Ellis-van Creveld syndrome protein (EVC_HUMAN)","4","EVC",0.00,"false",0.00,0.00,0.00,547.00,111.92,0.00,,,,,"false"
8282.00,"SINGLE PROTEIN","O43747",""," AP-1 complex subunit gamma-1 (AP1G1_HUMAN)","16","AP1G1",0.00,"false",0.00,0.00,0.00,547.00,91.29,0.00,,,,,"false"
8283.00,"SINGLE PROTEIN","Q8NCE0",""," tRNA-splicing endonuclease subunit Sen2 (SEN2_HUMAN)","3","TSEN2",0.00,"false",0.00,0.00,0.00,547.00,53.21,0.00,,,,,"false"
8284.00,"SINGLE PROTEIN","P57682",""," Krueppel-like factor 3 (KLF3_HUMAN)","4","KLF3",0.00,"false",0.00,0.00,0.00,547.00,38.80,0.00,,,,,"false"
8285.00,"SINGLE PROTEIN","P27815",""," cAMP-specific 3',5'-cyclic phosphodiesterase 4A (PDE4A_HUMAN)","19","PDE4A",0.00,"false",0.00,0.00,0.00,547.00,98.08,0.00,,,,,"false"
8286.00,"RELATED PROTEINS","O75820","P17036"," Zinc finger protein 189 (ZN189_HUMAN)","9","ZNF189",0.00,"false",0.00,0.00,0.00,547.00,72.93,0.00,,,,,"false"
8287.00,"SINGLE PROTEIN","Q8NCE2",""," Myotubularin-related protein 14 (MTMRE_HUMAN)","3","MTMR14",0.00,"false",0.00,0.00,0.00,547.00,72.16,0.00,,,,,"false"
8288.00,"SINGLE PROTEIN","Q8IUX1",""," Complex I assembly factor TMEM126B, mitochondrial (T126B_HUMAN)","11","TMEM126B",0.00,"false",0.00,0.00,0.00,547.00,25.93,0.00,,,,,"false"
8289.00,"RELATED PROTEINS","Q86VH4","Q86VH5"," Leucine-rich repeat transmembrane neuronal protein 4 (LRRT4_HUMAN)","2","LRRTM4",0.00,"false",0.00,0.00,0.00,547.00,67.17,0.00,,,,,"false"
8290.00,"SINGLE PROTEIN","P98196",""," Probable phospholipid-transporting ATPase IH (AT11A_HUMAN)","13","ATP11A",0.00,"false",0.00,0.00,0.00,547.00,129.67,0.00,,,,,"false"
8291.00,"SINGLE PROTEIN","Q8IUX4",""," DNA dC->dU-editing enzyme APOBEC-3F (ABC3F_HUMAN)","22","APOBEC3F",0.00,"false",0.00,0.00,0.00,547.00,44.99,0.00,,,,,"false"
8292.00,"SINGLE PROTEIN","Q15375",""," Ephrin type-A receptor 7 (EPHA7_HUMAN)","6","EPHA7",0.00,"false",0.00,0.00,0.00,547.00,112.02,0.00,,,,,"false"
8293.00,"SINGLE PROTEIN","P98153",""," Integral membrane protein DGCR2/IDD (IDD_HUMAN)","22","DGCR2",0.00,"false",0.00,0.00,0.00,547.00,60.77,0.00,,,,,"false"
8294.00,"SINGLE PROTEIN","P0C672",""," Putative tetraspanin-19 (TSN19_HUMAN)","12","TSPAN19",0.00,"false",0.00,0.00,0.00,547.00,28.44,0.00,,,,,"false"
8295.00,"SINGLE PROTEIN","Q96GP6",""," Scavenger receptor class F member 2 (SREC2_HUMAN)","22","SCARF2",0.00,"false",0.00,0.00,0.00,547.00,92.42,0.00,,,,,"false"
8296.00,"SINGLE PROTEIN","O43711",""," T-cell leukemia homeobox protein 3 (TLX3_HUMAN)","5","TLX3",0.00,"false",0.00,0.00,0.00,547.00,31.85,0.00,,,,,"false"
8297.00,"SINGLE PROTEIN","Q8IV08",""," Phospholipase D3 (PLD3_HUMAN)","19","PLD3",0.00,"false",0.00,0.00,0.00,547.00,54.67,0.00,,,,,"false"
8298.00,"SINGLE PROTEIN","Q03393",""," 6-pyruvoyl tetrahydrobiopterin synthase (PTPS_HUMAN)","11","PTS",0.00,"false",0.00,0.00,0.00,547.00,16.38,0.00,,,,,"false"
8299.00,"SINGLE PROTEIN","O43715",""," TP53-regulated inhibitor of apoptosis 1 (TRIA1_HUMAN)","12","TRIAP1",0.00,"false",0.00,0.00,0.00,547.00,8.78,0.00,,,,,"false"
8300.00,"SINGLE PROTEIN","O43719",""," HIV Tat-specific factor 1 (HTSF1_HUMAN)","X","HTATSF1",0.00,"false",0.00,0.00,0.00,547.00,85.80,0.00,,,,,"false"
8301.00,"SINGLE PROTEIN","O60287",""," Nucleolar pre-ribosomal-associated protein 1 (NPA1P_HUMAN)","21","URB1",0.00,"false",0.00,0.00,0.00,547.00,254.23,0.00,,,,,"false"
8302.00,"SINGLE PROTEIN","O60285",""," NUAK family SNF1-like kinase 1 (NUAK1_HUMAN)","12","NUAK1",0.00,"false",0.00,0.00,0.00,547.00,74.26,0.00,,,,,"false"
8303.00,"SINGLE PROTEIN","Q53FD0",""," Zinc finger C2HC domain-containing protein 1C (ZC21C_HUMAN)","14","ZC2HC1C",0.00,"false",0.00,0.00,0.00,547.00,51.63,0.00,,,,,"false"
8304.00,"RELATED PROTEINS","P51800","P51801"," Chloride channel protein ClC-Ka (CLCKA_HUMAN)","1","CLCNKA",0.00,"false",0.00,0.00,0.00,547.00,75.24,0.00,,,,,"false"
8305.00,"SINGLE PROTEIN","Q4LE39",""," AT-rich interactive domain-containing protein 4B (ARI4B_HUMAN)","1","ARID4B",0.00,"false",0.00,0.00,0.00,547.00,147.72,0.00,,,,,"false"
8306.00,"SINGLE PROTEIN","O60284",""," Suppression of tumorigenicity 18 protein (ST18_HUMAN)","8","ST18",0.00,"false",0.00,0.00,0.00,547.00,115.08,0.00,,,,,"false"
8307.00,"SINGLE PROTEIN","O60281",""," Zinc finger protein 292 (ZN292_HUMAN)","6","ZNF292",0.00,"false",0.00,0.00,0.00,547.00,304.62,0.00,,,,,"false"
8308.00,"SINGLE PROTEIN","P98161",""," Polycystin-1 (PKD1_HUMAN)","16","PKD1",0.00,"false",0.00,0.00,0.00,547.00,462.24,0.00,,,,,"false"
8309.00,"SINGLE PROTEIN","O60282",""," Kinesin heavy chain isoform 5C (KIF5C_HUMAN)","2","KIF5C",0.00,"false",0.00,0.00,0.00,547.00,109.43,0.00,,,,,"false"
8310.00,"SINGLE PROTEIN","Q8NBZ0",""," INO80 complex subunit E (IN80E_HUMAN)","16","INO80E",0.00,"false",0.00,0.00,0.00,547.00,26.46,0.00,,,,,"false"
8311.00,"SINGLE PROTEIN","Q4LDR2",""," Cortexin-3 (CTXN3_HUMAN)","5","CTXN3",0.00,"false",0.00,0.00,0.00,547.00,8.93,0.00,,,,,"false"
8312.00,"SINGLE PROTEIN","P98169",""," Zinc finger X-linked protein ZXDB (ZXDB_HUMAN)","X","ZXDB",0.00,"false",0.00,0.00,0.00,547.00,84.74,0.00,,,,,"false"
8313.00,"SINGLE PROTEIN","Q2M2D7",""," TBC1 domain family member 28 (TBC28_HUMAN)","17","TBC1D28",0.00,"false",0.00,0.00,0.00,547.00,24.06,0.00,,,,,"false"
8314.00,"SINGLE PROTEIN","Q9P1Y5",""," Calmodulin-regulated spectrin-associated protein 3 (CAMP3_HUMAN)","19","CAMSAP3",0.00,"false",0.00,0.00,0.00,547.00,134.67,0.00,,,,,"false"
8315.00,"SINGLE PROTEIN","Q9P1Y6",""," PHD and RING finger domain-containing protein 1 (PHRF1_HUMAN)","11","PHRF1",0.00,"false",0.00,0.00,0.00,547.00,178.56,0.00,,,,,"false"
8316.00,"SINGLE PROTEIN","Q8NBZ7",""," UDP-glucuronic acid decarboxylase 1 (UXS1_HUMAN)","2","UXS1",0.00,"false",0.00,0.00,0.00,547.00,47.55,0.00,,,,,"false"
8317.00,"SINGLE PROTEIN","Q3V6T2",""," Girdin (GRDN_HUMAN)","2","CCDC88A",0.00,"false",0.00,0.00,0.00,547.00,215.91,0.00,,,,,"false"
8318.00,"SINGLE PROTEIN","P19338",""," Nucleolin (NUCL_HUMAN)","2","NCL",0.00,"false",0.00,0.00,0.00,547.00,76.57,0.00,,,,,"false"
8319.00,"SINGLE PROTEIN","P46934",""," E3 ubiquitin-protein ligase NEDD4 (NEDD4_HUMAN)","15","NEDD4",0.00,"false",0.00,0.00,0.00,547.00,149.02,0.00,,,,,"false"
8320.00,"SINGLE PROTEIN","P46937",""," Transcriptional coactivator YAP1 (YAP1_HUMAN)","11","YAP1",0.00,"false",0.00,0.00,0.00,547.00,54.43,0.00,,,,,"false"
8321.00,"SINGLE PROTEIN","A6NNP5",""," Coiled-coil domain-containing protein 169 (CC169_HUMAN)","13","CCDC169",0.00,"false",0.00,0.00,0.00,547.00,25.24,0.00,,,,,"false"
8322.00,"SINGLE PROTEIN","P46939",""," Utrophin (UTRO_HUMAN)","6","UTRN",0.00,"false",0.00,0.00,0.00,547.00,394.22,0.00,,,,,"false"
8323.00,"SINGLE PROTEIN","Q96GN5",""," Cell division cycle-associated 7-like protein (CDA7L_HUMAN)","7","CDCA7L",0.00,"false",0.00,0.00,0.00,547.00,52.17,0.00,,,,,"false"
8324.00,"SINGLE PROTEIN","O60299",""," Leucine zipper putative tumor suppressor 3 (LZTS3_HUMAN)","","PROSAPIP1",0.00,"false",0.00,0.00,0.00,547.00,71.75,0.00,,,,,"false"
8325.00,"SINGLE PROTEIN","O60296",""," Trafficking kinesin-binding protein 2 (TRAK2_HUMAN)","2","TRAK2",0.00,"false",0.00,0.00,0.00,547.00,101.36,0.00,,,,,"false"
8326.00,"SINGLE PROTEIN","Q5T5C0",""," Syntaxin-binding protein 5 (STXB5_HUMAN)","6","STXBP5",0.00,"false",0.00,0.00,0.00,547.00,127.49,0.00,,,,,"false"
8327.00,"SINGLE PROTEIN","O60294",""," tRNA wybutosine-synthesizing protein 4 (TYW4_HUMAN)","15","LCMT2",0.00,"false",0.00,0.00,0.00,547.00,75.55,0.00,,,,,"false"
8328.00,"SINGLE PROTEIN","P98170",""," E3 ubiquitin-protein ligase XIAP (XIAP_HUMAN)","X","XIAP",0.00,"false",0.00,0.00,0.00,547.00,56.65,0.00,,,,,"false"
8329.00,"SINGLE PROTEIN","O60292",""," Signal-induced proliferation-associated 1-like protein 3 (SI1L3_HUMAN)","19","SIPA1L3",0.00,"false",0.00,0.00,0.00,547.00,194.49,0.00,,,,,"false"
8330.00,"SINGLE PROTEIN","O60293",""," Zinc finger C3H1 domain-containing protein (ZC3H1_HUMAN)","12","ZFC3H1",0.00,"false",0.00,0.00,0.00,547.00,226.21,0.00,,,,,"false"
8331.00,"SINGLE PROTEIN","P98171",""," Rho GTPase-activating protein 4 (RHG04_HUMAN)","X","ARHGAP4",0.00,"false",0.00,0.00,0.00,547.00,104.96,0.00,,,,,"false"
8332.00,"SINGLE PROTEIN","Q6ZRN7",""," Putative uncharacterized protein FLJ46214 (YP029_HUMAN)","","",0.00,"false",0.00,0.00,0.00,547.00,21.15,0.00,,,,,"false"
8333.00,"SINGLE PROTEIN","O60290",""," Zinc finger protein 862 (ZN862_HUMAN)","7","ZNF862",0.00,"false",0.00,0.00,0.00,547.00,131.57,0.00,,,,,"false"
8334.00,"SINGLE PROTEIN","P98174",""," FYVE, RhoGEF and PH domain-containing protein 1 (FGD1_HUMAN)","X","FGD1",0.00,"false",0.00,0.00,0.00,547.00,106.49,0.00,,,,,"false"
8335.00,"SINGLE PROTEIN","O60291",""," E3 ubiquitin-protein ligase MGRN1 (MGRN1_HUMAN)","16","MGRN1",0.00,"false",0.00,0.00,0.00,547.00,60.72,0.00,,,,,"false"
8336.00,"SINGLE PROTEIN","P34947",""," G protein-coupled receptor kinase 5 (GRK5_HUMAN)","10","GRK5",0.00,"false",0.00,0.00,0.00,547.00,67.74,0.00,,,,,"false"
8337.00,"SINGLE PROTEIN","Q32P41",""," tRNA (guanine(37)-N1)-methyltransferase (TRM5_HUMAN)","14","TRMT5",0.00,"false",0.00,0.00,0.00,547.00,58.21,0.00,,,,,"false"
8338.00,"SINGLE PROTEIN","Q9P1Z3",""," Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3 (HCN3_HUMAN)","1","HCN3",0.00,"false",0.00,0.00,0.00,547.00,85.98,0.00,,,,,"false"
8339.00,"SINGLE PROTEIN","P34949",""," Mannose-6-phosphate isomerase (MPI_HUMAN)","15","MPI",0.00,"false",0.00,0.00,0.00,547.00,46.63,0.00,,,,,"false"
8340.00,"SINGLE PROTEIN","Q02045",""," Myosin light chain 5 (MYL5_HUMAN)","4","MYL5",0.00,"false",0.00,0.00,0.00,547.00,19.52,0.00,,,,,"false"
8341.00,"SINGLE PROTEIN","Q02040",""," A-kinase anchor protein 17A (AK17A_HUMAN)","X","AKAP17A",0.00,"false",0.00,0.00,0.00,547.00,80.69,0.00,,,,,"false"
8342.00,"SINGLE PROTEIN","Q4AE62",""," Glycosyltransferase-like domain-containing protein 1 (GTDC1_HUMAN)","2","GTDC1",0.00,"false",0.00,0.00,0.00,547.00,52.56,0.00,,,,,"false"
8343.00,"SINGLE PROTEIN","Q96GM8",""," Target of EGR1 protein 1 (TOE1_HUMAN)","1","TOE1",0.00,"false",0.00,0.00,0.00,547.00,56.51,0.00,,,,,"false"
8344.00,"SINGLE PROTEIN","O60269",""," G protein-regulated inducer of neurite outgrowth 2 (GRIN2_HUMAN)","10","GPRIN2",0.00,"false",0.00,0.00,0.00,547.00,47.42,0.00,,,,,"false"
8345.00,"SINGLE PROTEIN","Q6ZRK6",""," Coiled-coil domain-containing protein 73 (CCD73_HUMAN)","11","CCDC73",0.00,"false",0.00,0.00,0.00,547.00,124.08,0.00,,,,,"false"
8346.00,"SINGLE PROTEIN","Q96GM5",""," SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 (SMRD1_HUMAN)","12","SMARCD1",0.00,"false",0.00,0.00,0.00,547.00,58.20,0.00,,,,,"false"
8347.00,"SINGLE PROTEIN","Q8N1W1",""," Rho guanine nucleotide exchange factor 28 (ARG28_HUMAN)","5","ARHGEF28",0.00,"false",0.00,0.00,0.00,547.00,191.77,0.00,,,,,"false"
8348.00,"SINGLE PROTEIN","O60268",""," Uncharacterized protein KIAA0513 (K0513_HUMAN)","16","KIAA0513",0.00,"false",0.00,0.00,0.00,547.00,46.61,0.00,,,,,"false"
8349.00,"SINGLE PROTEIN","Q8N283",""," Ankyrin repeat domain-containing protein 35 (ANR35_HUMAN)","1","ANKRD35",0.00,"false",0.00,0.00,0.00,547.00,109.90,0.00,,,,,"false"
8350.00,"SINGLE PROTEIN","O60266",""," Adenylate cyclase type 3 (ADCY3_HUMAN)","2","ADCY3",0.00,"false",0.00,0.00,0.00,547.00,128.88,0.00,,,,,"false"
8351.00,"SINGLE PROTEIN","Q8TDJ6",""," DmX-like protein 2 (DMXL2_HUMAN)","15","DMXL2",0.00,"false",0.00,0.00,0.00,547.00,339.43,0.00,,,,,"false"
8352.00,"SINGLE PROTEIN","O60264",""," SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SMCA5_HUMAN)","4","SMARCA5",0.00,"false",0.00,0.00,0.00,547.00,121.83,0.00,,,,,"false"
8353.00,"SINGLE PROTEIN","P07332",""," Tyrosine-protein kinase Fes/Fps (FES_HUMAN)","15","FES",0.00,"false",0.00,0.00,0.00,547.00,93.44,0.00,,,,,"false"
8354.00,"SINGLE PROTEIN","O60262",""," Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7 (GBG7_HUMAN)","19","GNG7",0.00,"false",0.00,0.00,0.00,547.00,7.52,0.00,,,,,"false"
8355.00,"SINGLE PROTEIN","Q56P03",""," E2F-associated phosphoprotein (EAPP_HUMAN)","14","EAPP",0.00,"false",0.00,0.00,0.00,547.00,32.74,0.00,,,,,"false"
8356.00,"SINGLE PROTEIN","O60260",""," E3 ubiquitin-protein ligase parkin (PRKN2_HUMAN)","6","PARK2",0.00,"false",0.00,0.00,0.00,547.00,51.61,0.00,,,,,"false"
8357.00,"SINGLE PROTEIN","Q8NBX0",""," Saccharopine dehydrogenase-like oxidoreductase (SCPDL_HUMAN)","1","SCCPDH",0.00,"false",0.00,0.00,0.00,547.00,47.12,0.00,,,,,"false"
8358.00,"SINGLE PROTEIN","Q32P51",""," Heterogeneous nuclear ribonucleoprotein A1-like 2 (RA1L2_HUMAN)","13","HNRNPA1L2",0.00,"false",0.00,0.00,0.00,547.00,34.20,0.00,,,,,"false"
8359.00,"SINGLE PROTEIN","A8K979",""," ERI1 exoribonuclease 2 (ERI2_HUMAN)","16","ERI2",0.00,"false",0.00,0.00,0.00,547.00,77.35,0.00,,,,,"false"
8360.00,"SINGLE PROTEIN","Q5NE16",""," Putative inactive cathepsin L-like protein CTSL3P (CATL3_HUMAN)","9","CTSL3",0.00,"false",0.00,0.00,0.00,547.00,25.04,0.00,,,,,"false"
8361.00,"SINGLE PROTEIN","Q04695",""," Keratin, type I cytoskeletal 17 (K1C17_HUMAN)","17","KRT17",0.00,"false",0.00,0.00,0.00,547.00,48.08,0.00,,,,,"false"
8362.00,"SINGLE PROTEIN","Q96GM1",""," Lipid phosphate phosphatase-related protein type 2 (LPPR2_HUMAN)","19","LPPR2",0.00,"false",0.00,0.00,0.00,547.00,36.86,0.00,,,,,"false"
8363.00,"SINGLE PROTEIN","P19320",""," Vascular cell adhesion protein 1 (VCAM1_HUMAN)","1","VCAM1",0.00,"false",0.00,0.00,0.00,547.00,81.22,0.00,,,,,"false"
8364.00,"SINGLE PROTEIN","Q8NC96",""," Adaptin ear-binding coat-associated protein 1 (NECP1_HUMAN)","12","NECAP1",0.00,"false",0.00,0.00,0.00,547.00,29.72,0.00,,,,,"false"
8365.00,"SINGLE PROTEIN","P34932",""," Heat shock 70 kDa protein 4 (HSP74_HUMAN)","5","HSPA4",0.00,"false",0.00,0.00,0.00,547.00,94.27,0.00,,,,,"false"
8366.00,"SINGLE PROTEIN","Q8IUL8",""," Cartilage intermediate layer protein 2 (CILP2_HUMAN)","19","CILP2",0.00,"false",0.00,0.00,0.00,547.00,126.21,0.00,,,,,"false"
8367.00,"SINGLE PROTEIN","Q8IUK8",""," Cerebellin-2 (CBLN2_HUMAN)","18","CBLN2",0.00,"false",0.00,0.00,0.00,547.00,24.07,0.00,,,,,"false"
8368.00,"SINGLE PROTEIN","Q8TDI7",""," Transmembrane channel-like protein 2 (TMC2_HUMAN)","20","TMC2",0.00,"false",0.00,0.00,0.00,547.00,102.54,0.00,,,,,"false"
8369.00,"SINGLE PROTEIN","Q5T5A4",""," Uncharacterized protein C1orf194 (CA194_HUMAN)","1","C1ORF194",0.00,"false",0.00,0.00,0.00,547.00,19.34,0.00,,,,,"false"
8370.00,"SINGLE PROTEIN","O43707",""," Alpha-actinin-4 (ACTN4_HUMAN)","19","ACTN4",0.00,"false",0.00,0.00,0.00,547.00,104.79,0.00,,,,,"false"
8371.00,"SINGLE PROTEIN","P20309",""," Muscarinic acetylcholine receptor M3 (ACM3_HUMAN)","1","CHRM3",0.00,"false",0.00,0.00,0.00,547.00,66.09,0.00,,,,,"false"
8372.00,"SINGLE PROTEIN","Q8N271",""," Prominin-2 (PROM2_HUMAN)","2","PROM2",0.00,"false",0.00,0.00,0.00,547.00,91.82,0.00,,,,,"false"
8373.00,"SINGLE PROTEIN","O60279",""," Sushi domain-containing protein 5 (SUSD5_HUMAN)","3","SUSD5",0.00,"false",0.00,0.00,0.00,547.00,67.98,0.00,,,,,"false"
8374.00,"SINGLE PROTEIN","P08670",""," Vimentin (VIME_HUMAN)","10","VIM",0.00,"false",0.00,0.00,0.00,547.00,53.62,0.00,,,,,"false"
8375.00,"SINGLE PROTEIN","O60271",""," C-Jun-amino-terminal kinase-interacting protein 4 (JIP4_HUMAN)","17","SPAG9",0.00,"false",0.00,0.00,0.00,547.00,146.11,0.00,,,,,"false"
8376.00,"SINGLE PROTEIN","Q53FE4",""," Uncharacterized protein C4orf17 (CD017_HUMAN)","4","C4ORF17",0.00,"false",0.00,0.00,0.00,547.00,39.62,0.00,,,,,"false"
8377.00,"SINGLE PROTEIN","Q32P44",""," Echinoderm microtubule-associated protein-like 3 (EMAL3_HUMAN)","11","EML3",0.00,"false",0.00,0.00,0.00,547.00,95.14,0.00,,,,,"false"
8378.00,"SINGLE PROTEIN","Q6ZS30",""," Neurobeachin-like protein 1 (NBEL1_HUMAN)","2","NBEAL1",0.00,"false",0.00,0.00,0.00,547.00,307.04,0.00,,,,,"false"
8379.00,"SINGLE PROTEIN","Q8IV42",""," L-seryl-tRNA(Sec) kinase (PSTK_HUMAN)","10","PSTK",0.00,"false",0.00,0.00,0.00,547.00,39.50,0.00,,,,,"false"
8380.00,"SINGLE PROTEIN","Q8TDQ1",""," CMRF35-like molecule 1 (CLM1_HUMAN)","17","CD300LF",0.00,"false",0.00,0.00,0.00,547.00,32.31,0.00,,,,,"false"
8381.00,"SINGLE PROTEIN","Q9P253",""," Vacuolar protein sorting-associated protein 18 homolog (VPS18_HUMAN)","15","VPS18",0.00,"false",0.00,0.00,0.00,547.00,110.12,0.00,,,,,"false"
8382.00,"SINGLE PROTEIN","Q8IV48",""," 3'-5' exoribonuclease 1 (ERI1_HUMAN)","8","ERI1",0.00,"false",0.00,0.00,0.00,547.00,40.04,0.00,,,,,"false"
8383.00,"SINGLE PROTEIN","Q6L8H4",""," Keratin-associated protein 5-1 (KRA51_HUMAN)","11","KRTAP5-1",0.00,"false",0.00,0.00,0.00,547.00,24.17,0.00,,,,,"false"
8384.00,"SINGLE PROTEIN","Q8TDQ7",""," Glucosamine-6-phosphate isomerase 2 (GNPI2_HUMAN)","4","GNPDA2",0.00,"false",0.00,0.00,0.00,547.00,31.06,0.00,,,,,"false"
8385.00,"SINGLE PROTEIN","Q96H55",""," Unconventional myosin-XIX (MYO19_HUMAN)","17","MYO19",0.00,"false",0.00,0.00,0.00,547.00,109.07,0.00,,,,,"false"
8386.00,"SINGLE PROTEIN","O60245",""," Protocadherin-7 (PCDH7_HUMAN)","4","PCDH7",0.00,"false",0.00,0.00,0.00,547.00,116.00,0.00,,,,,"false"
8387.00,"SINGLE PROTEIN","O60243",""," Heparan-sulfate 6-O-sulfotransferase 1 (H6ST1_HUMAN)","2","HS6ST1",0.00,"false",0.00,0.00,0.00,547.00,48.20,0.00,,,,,"false"
8388.00,"SINGLE PROTEIN","A2RRD8",""," Zinc finger protein 320 (ZN320_HUMAN)","19","ZNF320",0.00,"false",0.00,0.00,0.00,547.00,59.29,0.00,,,,,"false"
8389.00,"SINGLE PROTEIN","Q6L8G9",""," Keratin-associated protein 5-6 (KRA56_HUMAN)","11","KRTAP5-6",0.00,"false",0.00,0.00,0.00,547.00,11.77,0.00,,,,,"false"
8390.00,"SINGLE PROTEIN","O60244",""," Mediator of RNA polymerase II transcription subunit 14 (MED14_HUMAN)","X","MED14",0.00,"false",0.00,0.00,0.00,547.00,160.50,0.00,,,,,"false"
